code,class,ig_display,official_display,component_diff,system_diff,property_diff,method_diff,action,replacement_code,rationale,verified_by,verified_date
"13658-0","C","Urobilinogen [Presence] in Urine by Test strip","Urobilinogen [Presence] in Urine","false","false","false","true","rewrite-display","","","",""
"20456-0","A","Fungi yeast-like [Presence] in Urine sediment","Fungi.yeastlike [Presence] in Urine sediment by Light microscopy","true","false","false","true","REVIEW","","","",""
"20621-9","B","Albumin/Creatinine [Ratio] in Urine by Test strip","Albumin/Creatinine [Mass Ratio] in Urine by Test strip","false","false","true","false","REVIEW","","","",""
"20627-6","A","Color of Urine","Turbidity [Presence] of Urine Qualitative","true","false","true","false","REVIEW","","","",""
"32356-8","C","Yeast [Presence] in Urine sediment","Yeast [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"33218-9","B","Bacteria [#/volume] in Urine sediment by Automated count","Bacteria [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"33219-7","B","Epithelial cells.squamous [#/volume] in Urine sediment by Automated count","Epithelial cells.squamous [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"33223-9","B","Hyaline casts [#/volume] in Urine sediment by Automated count","Hyaline casts [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"33342-7","B","Epithelial cells [#/volume] in Urine sediment by Automated count","Epithelial cells [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"43755-8","B","Casts [#/volume] in Urine sediment by Automated count","Casts [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"46419-8","B","Erythrocytes [#/volume] in Urine sediment by Automated count","Erythrocytes [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"46702-7","B","Leukocytes [#/volume] in Urine sediment by Automated count","Leukocytes [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"50235-1","B","Mucus [#/volume] in Urine sediment by Automated count","Mucus [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"50551-1","A","Bilirubin [Presence] in Urine by Test strip","Bilirubin.total [Presence] in Urine by Automated test strip","true","false","false","true","REVIEW","","","",""
"50555-2","C","Glucose [Presence] in Urine by Test strip","Glucose [Presence] in Urine by Automated test strip","false","false","false","true","rewrite-display","","","",""
"50558-6","C","Nitrite [Presence] in Urine by Test strip","Nitrite [Presence] in Urine by Automated test strip","false","false","false","true","rewrite-display","","","",""
"50560-2","C","pH of Urine by Test strip","pH of Urine by Automated test strip","false","false","false","true","rewrite-display","","","",""
"50562-8","C","Specific gravity of Urine by Refractometer","Specific gravity of Urine by Refractometry automated","false","false","false","true","rewrite-display","","","",""
"53324-0","B","Spermatozoa [#/volume] in Urine sediment by Automated count","Spermatozoa [#/area] in Urine sediment by Automated count","false","false","true","false","REVIEW","","","",""
"53975-9","C","Drug crystals [Presence] in Urine sediment","Drug crystals [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"5766-1","A","Ammonium acid urate crystals [Presence] in Urine sediment","Ammonium urate crystals [Presence] in Urine sediment by Light microscopy","true","false","false","true","REVIEW","","","",""
"5770-3","A","Bilirubin [Presence] in Urine by Test strip","Bilirubin.total [Presence] in Urine by Test strip","true","false","false","false","REVIEW","","","",""
"5771-1","C","Bilirubin crystals [Presence] in Urine sediment","Bilirubin crystals [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"5773-7","C","Calcium carbonate crystals [Presence] in Urine sediment","Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"57734-6","C","Ketones [Presence] in Urine by Test strip","Ketones [Presence] in Urine by Automated test strip","false","false","false","true","rewrite-display","","","",""
"5774-5","C","Calcium oxalate crystals [Presence] in Urine sediment","Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"5775-2","C","Calcium phosphate crystals [Presence] in Urine sediment","Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"57751-0","C","Hemoglobin [Presence] in Urine by Test strip","Hemoglobin [Presence] in Urine by Automated test strip","false","false","false","true","rewrite-display","","","",""
"5777-8","C","Cholesterol crystals [Presence] in Urine sediment","Cholesterol crystals [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"5784-4","C","Cystine crystals [Presence] in Urine sediment","Cystine crystals [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"5788-5","A","Oval fat bodies [#/area] in Urine sediment by Microscopy high power field","Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field","true","false","false","false","REVIEW","","","",""
"5792-7","B","Glucose [Presence] in Urine by Test strip","Glucose [Mass/volume] in Urine by Test strip","false","false","true","false","REVIEW","","","",""
"5797-6","B","Ketones [Presence] in Urine by Test strip","Ketones [Mass/volume] in Urine by Test strip","false","false","true","false","REVIEW","","","",""
"5813-1","C","Trichomonas vaginalis [Presence] in Urine sediment","Trichomonas vaginalis [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"5814-9","A","Calcium magnesium ammonium phosphate crystals [Presence] in Urine sediment","Triple phosphate crystals [Presence] in Urine sediment by Light microscopy","true","false","false","true","REVIEW","","","",""
"5817-2","C","Uric acid crystals [Presence] in Urine sediment","Urate crystals [Presence] in Urine sediment by Light microscopy","false","false","false","true","rewrite-display","","","",""
"60026-2","C","Leukocyte esterase [Presence] in Urine by Test strip","Leukocyte esterase [Presence] in Urine by Automated test strip","false","false","false","true","rewrite-display","","","",""
"62487-4","C","Urobilinogen [Presence] in Urine by Test strip","Urobilinogen [Presence] in Urine by Automated test strip","false","false","false","true","rewrite-display","","","",""
"13705-9","A","Albumin/Creatinine [Mass Ratio] in Urine","Albumin/Creatinine [Mass Ratio] in 24 hour Urine","false","true","false","false","REVIEW","","","",""
"10701-1","A","Ova and parasites [Presence] in Stool by Concentration method","Ova and parasites identified in Stool by Concentration","true","false","true","true","REVIEW","","","",""
"10704-5","A","Ova and parasites [Presence] in Stool by Microscopy","Ova and parasites identified in Stool by Light microscopy","true","false","true","true","REVIEW","","","",""
"13655-6","C","Leukocytes [Presence] in Stool by Microscopy","Leukocytes [Presence] in Stool by Light microscopy","false","false","false","true","rewrite-display","","","",""
"2335-8","A","Hemoglobin [Presence] in Stool","Hemoglobin [Presence] in Stool from gastrointestinal","false","true","false","false","REVIEW","","","",""
"33668-5","C","Erythrocytes [Presence] in Stool by Microscopy","Erythrocytes [Presence] in Stool","false","false","false","true","rewrite-display","","","",""
"42524-9","C","Mucus [Presence] in Stool by Microscopy","Mucus [Presence] in Stool by Light microscopy","false","false","false","true","rewrite-display","","","",""
"6690-2","C","Leukocytes [#/volume] in Blood","Leukocytes [#/volume] in Blood by Automated count","false","false","false","true","rewrite-display","","","",""
